"","country","comments","ratingbadge","ratingscore","checkin","typetripnights"
"1","id","I DON'T FIND AND SEE A FACILITIES SPORT OR FITNESS","Bagus","6,0","  9 Jul 2019","Jalan-jalan keluarga 1 malam"
"2","id","Ga tau kenapa, nginap di hotel ini, kali ini sedikit berbeda dg sebelum2nya... pas cekin (jam 18:30) harus nunggu kamar dipersiapkan cukup lama -+ 30 menitan pdhl setau kami jam cekin umumnya jam 14.00 harusnya sudah siap dong. Dan ketika cekout disuruh nunggu juga -+ 15 menitan. Pdhl sebelum2nya menginap (4 kali) dihotel ini tdk ada pengalaman sprti itu . Cm overall dari segi kebersihan, pelayanan, dan lokasi kami sangat cocok.","Bagus","6,0","  14 Agt 2018","Liburan bersama teman 1 malam"
"3","id","Hanya letak hotel yg strategis..  Kenyamanan hotel.kurang.","Buruk","2,0","  18 Jun 2018","Perjalanan 2 malam"
"4","id","Good place... good staff.... i recomended for This... you must try.. saya dan keluarga mengucapkan banyak terima kasih atas semua nya","Sempurna","10,0","  19 Jun 2018","Perjalanan 2 malam"
"5","id","","Biasa","4,0","  9 Mei 2018","Perjalanan keluarga"
"6","id","pertahankan dan tingkatkan pelayanan yang sekarang","Sempurna","10,0","  2 Mei 2018","Perjalanan romantis"
"7","id","best location!","Sempurna","10,0","  25 Jun 2017","Jalan-jalan keluarga 3 malam"
"8","us","I loved this hotel, want to stay here for the next time when I visit to yogya.  Ciao.","Sempurna","10,0","  12 Des 2019","Jalan-jalan keluarga 2 malam"
"9","my","value for money, good selections of food for bfast, clean and most of all helpful and ever-willing to assist esp staffs at the noodle restaurant ","Sempurna","10,0","  13 Sep 2019","Liburan bersama teman 2 malam"
"10","gb","breakfast was good! lots of menu with the reasonable price!","Bagus Sekali","8,0","  14 Sep 2019","Perjalanan bisnis 1 malam"
"11","my","the staff very friendly and the swimming view very good","Sempurna","10,0","  16 Agt 2019","Liburan bersama teman 3 malam"
"12","ie","Can 100% recommend this Hotel.  I stayed here last year and came back. It is a real Treat after traveling in Sumatra. Hotel Neo is a Hotel of high standard and clean. STAFF is professional and they will try to help in any way.  Breakfast is good.  I don't find the pool that inviting but apart from that I love this Hotel !","Sempurna","10,0","  21 Nov 2018","Liburan romantis 3 malam"
