"","country","comments","ratingbadge","ratingscore","checkin","typetripnights"
"1","id","Everything was great, location, facilities. The stay is absolutely comfortable","Sempurna","10,0","  11 Feb 2019","Perjalanan bisnis 2 malam"
"2","id","This is what I expected to get while staying in a hotel. I visited Yogya for a holiday...but the weather so extreme. It was rainy all day. Though the place so near with the center of the city, but I prefer to stay away from wet. Hotel should be the second place to get the experiences in all condition. Friendly greeting, customerized, comfort & cleanliness room. Breakfast with lot of variety. I recommed this hotel...keep up the good record...","Sempurna","10,0","  28 Nov 2017","Perjalanan 1 malam"
"3","sg","The hospitality given is pure class. Staffs are extremely helpful and always ready to assist. 10/10 would recommend this hotel to non-Indonesian speaking tourist.","Sempurna","10,0","  19 Des 2019","Liburan romantis 7 malam"
"4","us","Highly recommended. We booked 2 rooms for 4d 3n. The hotel reception is clean and looking fresh, and so are the rooms. Breakfast buffet offers great variety of local foods (different offerings for 3 days in a row). Free wifi provided. Location is near Tugu and a little off the busy & crowded malioboro, not walking distance but grab cars are aplenty and affordable (15rb to malioboro / kraton) or there are becak (trishaw) for 30rb if you feel so. There is a bakery and cafe too right next to the lobby.","Sempurna","10,0","  13 Des 2019","Jalan-jalan keluarga 3 malam"
"5","us","Unless you speak fluent Indonesian, I cannot recommend staying here. The rooms are clean, the restaurant is excellent, and they are eco friendly. My experience is described below:  Before arriving I booked a tour to Borobudur though this hotel which was confirmed by them. However, when I arrived, they hadn't arranged a driver and there was an additional 600k IDR transport charge (you shouldn't pay over 250k IDR MAX for transport to Borobudur). Naturally I declined to book though them.  Then, I received a note saying since I had the do not disturb sign up when housekeeping came by, I could call 6 when I was ready for them written in both English and Indonesian. This resulted in a saga of 3 tries to request room service and 5 tries to request clean mugs that were met with complete incomprehension even when using the paper with both Indonesian and English, until I went to the front desk. The front desk was able to resolve everything, but also felt the need to inform me that the staff had other things to do.   All in all, this was my least favorite place to stay in Indonesia.","Bagus","6,0","  29 Okt 2019","Perjalanan 3 malam"
"6","my","strategic location in the town. walking distance to night market. very convenient for tourists.","Bagus Sekali","8,0","  4 Okt 2019","Jalan-jalan keluarga 3 malam"
"7","sg","great stay! Hotel staff and service are great. With staff always smiling with greetings, making the stay comfortable.","Bagus Sekali","8,0","  23 Sep 2019","Jalan-jalan keluarga 3 malam"
"8","au","It’s ok It’s ok  It’s ok It’s ok It’s ok It’s ok It’s ok It’s ok","Bagus","6,0","  15 Sep 2019","Liburan romantis 1 malam"
"9","sg","Stayed in one of the Junior suites and it was awesome. Lovely room, large bed, spacious bathroom. Plenty of hot water and there was also a water dispenser in the room, so no more plastic bottles (why don't other hotels do this?). Staff were extremely helpful and courteous. Thoroughly enjoyed our stay here at the Mungkubumi.","Sempurna","10,0","  10 Sep 2019","Liburan romantis 2 malam"
"10","sg","Great stay in the hotel everything is good including the breakfast also.Maybe the hotel can put an iron & ironboard in the room which will be more better .Maybe can consider to have gym for exercise.","Bagus Sekali","8,0","  19 Agt 2019","Liburan bersama teman 4 malam"
"11","gb","The staff were excellent - very attentive and happy to help. The room was large, clean and well furnished and there were free snacks at the minibar! We loved that. The breakfast buffet was extensive and the pool area was really nice.","Sempurna","10,0","  12 Agt 2019","Perjalanan 3 malam"
"12","vn"," Good location and kind service","Sempurna","10,0","  5 Agt 2019","Perjalanan bisnis 1 malam"
"13","us","We had the King room and it was large. Room was clean, had a nice bathroom, and the wifi worked well. It is close to Maliboro and the Tugu station. We will stay there again","Sempurna","10,0","  25 Mei 2019","Liburan romantis 2 malam"
"14","sg","Great room location and staff","Sempurna","10,0","  20 Mei 2019","Jalan-jalan keluarga 2 malam"
"15","sg","Nothing special but acceptable. There was no problem","Sempurna","10,0","  19 Apr 2019","Perjalanan 1 malam"
"16","us","","Sempurna","10,0","  8 Apr 2019","Liburan romantis 3 malam"
"17","gb","The service was a highlight during my stay. The staff are very welcoming, great willingness to help. I was a long stay guest with a stay of 22 nights. Most of the staff even learnt my name, so each day I was greeted as Mr Adam, this was a nice touch.  The cleanliness of hotel and room was excellent also.","Sempurna","10,0","  21 Mar 2019","Jalan-jalan keluarga 22 malam"
"18","sg","Excellent, good food. Easy excess to places of interest.","Sempurna","10,0","  30 Mar 2019","Perjalanan 3 malam"
"19","us","We were quite impressed with all aspects of the hotel.  The staff were very helpful, and the breakfast spread was the most impressive we encountered in Indonesia.  The in room massage also was fairly priced and appreciated.  The location is perfect to explore Yogyakarta near shopping and dining including street food.","Sempurna","10,0","  9 Feb 2019","Liburan romantis 1 malam"
"20","id","In general, this hotel is very comfortable   But, check in process so hard. Long time. Apptoximately 1 hour for waiting my room...  ","Bagus Sekali","8,0","  6 Mar 2019","Perjalanan bisnis 1 malam"
"21","gb","Everything is perfect. One of the best i have stayed in Indonesia. Price is reasonable with comfortable bed, wonderful breakfast and welcoming staff. 5 star service !!!","Sempurna","10,0","  14 Jan 2019","Perjalanan 4 malam"
"22","my","The place was better than expected. Great location (very near the action but not IN the action so it´s quieter). Lots of choices at the buffet breackfast, mostly for locals but also few choices for weterners (don´t expect many choices of breads of any cheese at all, but you are in Indonesia anyway). The staff was probably the best feature of the hotel. We will stay there if we go back to Yogyakarta. Thanks!","Sempurna","10,0","  12 Des 2018","Perjalanan 3 malam"
"23","id","This hotel is located in a strategic place near the Jogja monument and Malioboro street. in our opinion the good thing about this hotel is the varied breakfast and many menu choices. for the size of the room suitable for hotels in urban areas, but the air conditioner is noisy and not cold, it may require maintenance.","Bagus Sekali","8,0","  2 Nov 2018","Jalan-jalan keluarga 1 malam"
"24","sg","All staff was friendly and helpful. They also surprised me birthday cake in the restaurant. Breakfast was excellent n lots of choices.  Room was small but enough for 2. 10mins walk to the malioboros street.","Sempurna","10,0","  5 Okt 2018","Liburan bersama teman 4 malam"
"25","my","Check in and check out were smooth and hassle free. We booked two rooms, one was king and one was a twin room. However, please note that this would be at the hotel's discretion as it depends on availability. The hotel staff were helpful and friendly. They would greet you as you enter and ready to assist when needed.     Rooms were clean, nicely designed and new. It would be great if the room included a dressing table though. The beds were comfortable. Toilet amenities were provided. Bathroom's maintenance could be slightly improved but overall, still in good condition. The best part about the room would be all the snacks and whatever you can find in the fridge are free! In fact, they would even replenish the items when they clean the room.    For those that enjoy Indonesian food (which I do), food options are plentiful and delicious  but for non Indonesian food lover, you may be slightly disappointed as the options are quite limited.     The hotel is located near Malioboro Street, a place you could shop for batik (majority) and other knick knacks (like tshirts, etc) but not exactly walkable. So, you could opt for Grab, the hotel has a Grab order machine at the entrance.    All in all, my family and I had a great time staying at Harper and we would definitely stay here again when we come to Yogyakarta.   ","Sempurna","10,0","  4 Agt 2018","Jalan-jalan keluarga 3 malam"
"26","id","This hotel located in central of Jogja. Great food and shopping distric around.  Hotel is clean, staff is great, food is good.","Sempurna","10,0","  19 Jun 2018","Jalan-jalan keluarga 2 malam"
"27","ie","Service was excellent and breakfast has a huge variety of food. Staff were helpful and courteous. They even helped us book for Grab cars from the Grab booth in the hotel lobby. AS we stayed for 4 nites, we had special breakfast menu to order from, in addition to the buffet breakfast provided. Excellent hotel","Sempurna","10,0","  21 Mei 2018","Liburan romantis 4 malam"
"28","gb","When visiting Yogyakarta, I always stay in hotels nearby Tugu area. Definitely, Harper will be very much to consider. They have premium location, adjacent to places of interest, and also Angkringan.  A nice cafe and bakery is next to the hotel  ","Sempurna","10,0","  5 Mei 2018","Perjalanan 1 malam"
"29","us","the hotel service is excellent, upgrading my room, and stay at 3rd floor near the pool is convenience no need to use elevator,.pool is okay but small and clean,room.is spacious and clean ,.everything is okay  and the parking is easy ,location is quite easy to go everywhere  ","Sempurna","10,0","  6 Mei 2018","Perjalanan bisnis"
"30","us","This is one of the nicest hotels in Yogyakarta. It is close to great shopping and street entertainment.","Sempurna","10,0","  6 Apr 2018","Perjalanan 2 malam"
"31","sg","The most overwhelming, awesome, outstanding guest service attitude that I ever experienced in my 25 years of numerous International Travels. Most of all, never ever in my history of stays at hundreds of hotels my request for vegetarian breakfast was honored with such great concern and care. Despite a couple of vegetarian dishes being a part of the international breakfast menu every morning, they proactively reached us 'each evening' to let us select as many from 8 options of vegetarian food that would want to prepare specially for us. They even packed the extras and leftovers without a single blink or question. Most humble and warm staff. How I wish that every other hotel in the world sends their staff for training to this hotel to learn the true meaning of customer service.     I wish to congratulate the hotel management for their holistic and visionary thinking. I will certainly write a special letter to the Indian Ministry of Tourism, besides that of Indonesia, expressing my views on how the hotels should operate citing this hotel as a star role model.","Sempurna","10,0","  30 Mar 2018","Perjalanan 3 malam"
"32","id","Strategic location, close to many Yogya main attractions ","Bagus Sekali","8,0","  2 Apr 2018","Perjalanan bersama teman"
