"","country","comments","ratingbadge","ratingscore","checkin","typetripnights"
"1","id","Pelayanan yg baik dan ramah, ruangan yg bersih dan nyaman. Oleh sebab itu saya menyarankan tamu dr luar negeri saya utk menginap disini. Ini merupakan pengalaman kesekian kalinya di hyatt jogja. ","Sempurna","10,0","  14 Nov 2018","Perjalanan bisnis 1 malam"
"2","id","We were attending wedding party and feeling blessing of the situation all around the hotel area.","Bagus Sekali","8,0","  31 Agt 2018","Perjalanan 3 malam"
"3","us","Very convenient to visit Borobudur and Prambanan sites.","Bagus Sekali","8,0","  1 Mar 2020","Perjalanan 4 malam"
"4","us","Beautiful buildings and grounds. Old room in need of renovation/modernization, especially the bathroom. Stains on upholstery. Footstep noise from overhead. Annoyingly-slow check-in, where you are asked to take a seat in the lobby while someone takes your passports and comes and goes several times with forms and eventually room keys. We'd prefer to do it in a couple of minutes standing at the front desk like everywhere else. Breakfast was fine, nothing special, busy and loud (more children here than normally seen at 5-star hotels). The spa facilities were not entirely clean, and need renovation as well. The location is outside the center, with slow traffic. We were glad we booked just one night to check it out first. We chose to go elsewhere the next day.","Bagus","6,0","  23 Jan 2020","Perjalanan 1 malam"
"5","au","Beautiful, peaceful, scenic, romantic, hospitable, divinity.","Sempurna","10,0","  27 Des 2019","Jalan-jalan keluarga 7 malam"
"6","hk","Great stay at the Hyatt Yogyakarta for family holidays over X-mas. Helpful and friendly staff at an excellent location. Great breakfast. However, in some areas an upgrade is required. Example: coffee machines used during breakfast are not the standard you expect from the Hyatt (staff also called them old).","Bagus Sekali","8,0","  24 Des 2019","Jalan-jalan keluarga 4 malam"
"7","au","Lovely pool and garden area. Not much around the hotel itself. Shower ran out of water. Staff was very helpful and friendly. Food looked good but very limited choice for vegans.","Bagus Sekali","8,0","  24 Des 2019","Perjalanan bisnis 2 malam"
"8","id","The service and views were amazing!! I enjoyed seeing the smiling faces and the people who were ready to help in any situation.  The tennis courts were run down, the shower head was like rusty, and the sink in the bathroom should have been cleaned just a bit better around the rim. But like I said above, the service at the hotel and the restaurant were amazing!!  I can see myself coming back!","Bagus Sekali","8,0","  12 Nov 2019","Liburan bersama teman 3 malam"
"9","sg","The surroundings within the hotel is amazing. The poolside is a treat! The rooms however is a little old school. The AC could have been better and so could the bed. However, the staff there was AMAZING! Such wonderful hospitality! From the time you get out of the car to walk to the lobby, they make you feel so welcome. I would highly recommend this hotel and I would definitely be back.","Sempurna","10,0","  9 Nov 2019","Jalan-jalan keluarga 1 malam"
"10","sg","One of the best hotel here. Clean, and beautifully decorated.  Staff was very friendly. Would definitely recommend this hotel. I’ve had an enjoyable stay.","Sempurna","10,0","  6 Nov 2019","Perjalanan 1 malam"
"11","in","Awesome stay. Excellent staff and service. Great rooms and amenities in room. Good value for money. Breakfast and in room dining is also good. I recommend this hotel to everyone.","Sempurna","10,0","  28 Jul 2019","Perjalanan bisnis 5 malam"
"12","as","Impeccable and quick service. Rooms and facilities are rather old, but still comfortable and clean. Would recommend to friends if they are visiting JOG and have a higher budget. ","Sempurna","10,0","  5 Sep 2019","Jalan-jalan keluarga 3 malam"
"13","us","The rooms in the property need a remodeling. Some fixtures were also broken in my room.","Sempurna","10,0","  18 Jul 2019","Perjalanan 4 malam"
"14","us","The friendliness, helpfulness, and determination of the staff are qualities unmatched in Southeast Asia. We would choose this hotel time and time again based on the employees alone.  Z and his wife A made our mornings at breakfast memorable and so special. Z went out of his way to prepare gluten-free pancakes, muffins, and noodle dishes for me. They were absolutely perfect and again, this speaks of the excellent service provided by the staff of the hotel. We are so grateful!   Everything else about the property leaves much to be desired. The location is far from restaurants, coffee shops, and walkable areas. Smoking is permitted everywhere on the property--sure there is a smoking designation but even on our floor, the room was equipped with an ashtray and ashtrays near the elevators as well. The gardens are decent compared to Bali, the food is nothing special, and the property is truly dated--probably the most dated hotel we've ever lodged with.","Bagus Sekali","8,0","  14 Agt 2019","Jalan-jalan keluarga 4 malam"
"15","sg","Excellent staff . Great welcome. Nice service . Good food . Nice company. Beautiful environment.","Sempurna","10,0","  8 Agt 2019","Perjalanan 2 malam"
"16","us","Great facilities, beautiful garden, excellent breakfast.","Sempurna","10,0","  13 Jul 2019","Jalan-jalan keluarga 2 malam"
"17","sg","great facilities, friendly staffs, good reception services, offered to packed breakfast for early check out and early morning tour to borobudur sunrise","Sempurna","10,0","  17 Mei 2019","Liburan romantis 3 malam"
"18","sg","The furnishing is abit outdated but the service there is excellent. Had beer at the lounge with nice live band music & not so bad spa service. There’s a huge swimming pool there too but didn’t bring swimwear. I like the view most as it’s facing Mount Merapi & a nice golf course too","Bagus Sekali","8,0","  30 Apr 2019","Liburan bersama teman 4 malam"
"19","sg","The soft wear looking very tired n drab.  The room was too small to accommodate an extra bed..however the staff were amazing n made up for the tired overall condition of the hotel.The food was good though ","Bagus Sekali","8,0","  3 Apr 2019","Jalan-jalan keluarga 3 malam"
"20","us","This was hands down one of the nicest properties i've ever stayed at. The staff was amazing. So helpful and so nice. They epitome of luxury and service. I would recommend this hotel to anyone. As a lover of travel and an lifelong employee of the service industry, this hotel is doing is right.","Sempurna","10,0","  4 Mar 2019","Perjalanan 3 malam"
"21","us","Cosy place despite of the giant structures, trying to adapt to the setting of ancient Borubudur. Friendly and efficient staff, clean and inviting","Bagus Sekali","8,0","  15 Feb 2019","Jalan-jalan keluarga 2 malam"
