"","country","comments","ratingbadge","ratingscore","checkin","typetripnights"
"1","id","Tiba di hotel pkl 14.00 baru bisa masuo kamar pkl 16.00, tapi itu terbayar, anak2 langsung pada berenang dan saya bisa istirahat, kedepannya waktu pelayanan lebih di tingkatkan","Sempurna","10,0","  18 Jun 2018","Jalan-jalan keluarga 1 malam"
"2","id","It is my second or third times staying in this hotel, althought it is old, it well maintain and resonable priced. Staff are polite and accomodating. Really enjoyable stay. Always come back to this hotel when in Jogja.","Sempurna","10,0","  19 Agt 2017","Perjalanan 2 malam"
"3","us","Very nice property with Awesome Spa and extremely helpful and hospitable staff, felt very comfortable and at home","Sempurna","10,0","  5 Mar 2020","Jalan-jalan keluarga 4 malam"
"4","us","Nice view,big pool <U+0001F44D>,i love it,thank you sheraton ,i will be back","Bagus Sekali","8,0","  4 Mar 2020","Perjalanan bisnis 1 malam"
"5","my","I like their classic design which represent Indonesia as a whole. Spacious room. Comfy bed. Great breakfast selection. Warm hospitality from all staff.","Sempurna","10,0","  5 Feb 2020","Liburan bersama teman 1 malam"
"6","us","The thing that really makes this hotel outstanding is the helpful and charming staff who make staying there a real pleasure. The rooms are also nicely refurnished, at a good size and the architecture is fantastic. The spa and its staff are especially good. Most of all, it is the people that make this the best place to stay in Yogyakarta.","Sempurna","10,0","  21 Jan 2020","Perjalanan 3 malam"
"7","us","we stayed one night, very nice hotel ad breakfast buffet was great.","Sempurna","10,0","  8 Jan 2020","Jalan-jalan keluarga 1 malam"
"8","hk","booked this hotel because of ratings and previous experience with sheraton hotels. unfortunately this place was way below expectation. booked a mountain view room at higher price which i would not recommend. the room faces the pool area which is quite noisy and the condition of room is questionable. furniture and bathroom showed heavy marks of wear and tear. light switches of bed lamp fell off once touching. one lamp would not shut off at all. AC very noisy. wifi barely working. changed instantly and without big issue to garden view room which is completely renovated. however room climate was quite humid, clothes and shoes have been damped overnight. could be the rainy season effect, but should bot happen in a 4.5 star hotel. gym/spa/restaurants not visited. pool is in a good condition, quite a plus of this hotel, same as the service of the employees. breakfast is a turn down, the quality of the food and the presentation was not what i expect in that price category, would not recommend and will not book again.","Bagus","6,0","  23 Des 2019","Perjalanan 2 malam"
"9","sg","Interior design of the room  Great chill vibes   Bed was comfortable","Bagus Sekali","8,0","  17 Des 2019","Liburan romantis 4 malam"
"10","us","The hotel looks like it is 1000 years old. Perhaps it is the oldest Sheraton in the world. I think we should do a Remodal.","Bagus","6,0","  21 Des 2019","Jalan-jalan keluarga 1 malam"
