"","country","comments","ratingbadge","ratingscore","checkin","typetripnights"
"1","id","Cukup di rekomendasikan, sayang lokasi dan parkir nya terbatas","Bagus Sekali","8,0","  24 Jan 2020","Jalan-jalan keluarga 2 malam"
"2","id","semua layanan dan kebersihan yg paling utama utk kami, semuanya bagus dan nyaman pastinya","Sempurna","10,0","  1 Jun 2018","Jalan-jalan keluarga 3 malam"
"3","us","Definitely one of the nicer hotels in the area.  Very clean and comfortable.  Pool has an amazing view but it closes early.  Breakfast is nice but on the smaller side compared to other hotels of that caliber.  Would consider staying again.","Sempurna","10,0","  16 Mar 2020","Jalan-jalan keluarga 1 malam"
"4","us","Rooms are extremely quiet, and very elegantly appointed. Excellent location and excellent breakfast","Sempurna","10,0","  11 Feb 2020","Perjalanan 2 malam"
"5","sg","The hotel staff provide excellent customer service and they are very helpful. Breakfast buffet has quite a lot of variety. They have special dinner buffet rate for hotel guests on every Saturday and the variety is quite good. The hotel is clean and room is comfy. There is not much to see at the surroundings of the hotel but one can call Grab to go to Malioboro street easily. Grab service is at very affordable rate and can get a car quite easily & the driver will arrive quite fast.","Sempurna","10,0","  31 Jan 2020","Perjalanan 3 malam"
"6","us","Attractive hotel, good size room, breakfast fine, pool small. Courteous staff, Wawan was helpful with some local info.","Sempurna","10,0","  26 Jan 2020","Perjalanan 1 malam"
"7","id","It was extremely good. Everything was almost perfect. I first fell in love with the lobby the moment i entered, welcomed by the lemongrass luxurious smell, accompanied by the gold platings of the interior design. My expectations was surpassed again when they served us welcome drinks and a small piece of dessert.   The room, the lounge area and interior design of the whole hotel was well thought-out and even the toilet bowl was extra large.The lobby toilet is super nice with marble walls and not to mention the breakfast buffet - it was great!!!! Looking forward to going back to the hotel everynight, didnt regret staying there for 4 nights. Usually i dont like to stay at a place for too long when travelling!   However, 2 things to improve on for the hotel management:   1) some of the towels had stains on them. I know it's hard for white cloth to stay white forever but since youre a 4.5/5 star hotel please take note of this. 2) the floor for the bathing cubicle had some grit/some pebbles or dirt at the corner/sides. Please do proper cleaning before letting guests check in. Thanks! ","Sempurna","10,0","  31 Des 2019","Perjalanan 4 malam"
"8","my","Nearby masjid, town centre, Kfc, Pizza Hut, McDonald’s, Maybank...etc.., all nearby,","Sempurna","10,0","  31 Des 2019","Jalan-jalan keluarga 2 malam"
"9","sg","Excellent.  All staff are friendly and helpful.  Very courteous , attentive  & prompt  service.  Ambience is excellent. Very clean hotel and room. All rooms are non-smoking. There is a penalty of Rp1.5 million  if found smoking in room. ","Sempurna","10,0","  21 Des 2019","Perjalanan 5 malam"
"10","sg","It is my second time staying here for biz trip. The room is model and clean. The hotel's breakfast is very nice. The staff are very friendly. Only the wifi signal is not stable.","Sempurna","10,0","  30 Sep 2019","Perjalanan bisnis 2 malam"
"11","hk","The furnishings are new and trendy. Roof top bar and restaurant provides good services and nice menu too. Front desk reception was helpful and especially gave good advice on tours around. My experience with sincere help from Ali on booking of dance show tickets is really memorable.","Sempurna","10,0","  1 Okt 2019","Jalan-jalan keluarga 2 malam"
"12","ie","It was great and we will probably stay here again, when we coming back to Yogyakarta <U+0001F49D><U+0001F618><U+0001F64F><U+0001F44D>","Sempurna","10,0","  31 Agt 2019","Liburan romantis 4 malam"
"13","in","Extremely welcoming and helpful staff   Very comfortable room with a choice of pillows for the bed   A wide breakfast spread and a location within a short taxi drive to the local attractions   Only complaint:iffy wifi","Sempurna","10,0","  27 Agt 2019","Liburan romantis 5 malam"
"14","us","A lovely hotel with nice people in a quiet area of town. Good breakfast selection. They have a shuttle every 2 hours to the central area during the day but it stops at 6:00. About 2 hours by car to Borobudur and another hour to Pambanan so book a car for the day (500 Indonesia). ","Sempurna","10,0","  16 Agt 2019","Liburan bersama teman 3 malam"
