,country,comments,ratingbadge,ratingscore,checkin,typetripnights
0,id,"Pengalaman memginap yang memgesankan. Staff hotel sangat ramah, kamar bersih, kamar mandi bersih, tiap ba'da maghrib dikirimkan camilan. Saya pasti menginap di hotel ini lagi.",Sempurna,"10,0",7 Mar 2020,Perjalanan bisnis 4 malam
1,id,Semuanya baik.,Bagus Sekali,"8,0",21 Des 2019,Jalan-jalan keluarga 2 malam
2,id,Menyenangkan,Sempurna,"10,0",22 Des 2019,Jalan-jalan keluarga 1 malam
3,id,"Good view and near marlioboro,
Good facility with becak motor",Bagus Sekali,"8,0",10 Okt 2019,Jalan-jalan keluarga 2 malam
4,id,Hotel melia yang semakin berseri setelah mengalami berbagai sentuhan penyegaran dan renovasi interior.,Bagus Sekali,"8,0",1 Jan 2019,Liburan romantis 3 malam
5,id,Lokasi strategis,Bagus Sekali,"8,0",7 Mei 2018,Perjalanan keluarga
6,gb,I love the lobby and the brrakfast,Sempurna,"10,0",21 Feb 2020,Liburan bersama teman 1 malam
7,us,"The room and the property was really nice. Food was great and the pool was very child friendly, our kids loved it.",Sempurna,"10,0",7 Feb 2020,Jalan-jalan keluarga 3 malam
8,my,"superb hotel... superb service... very big and comfy room... walking distance to Malioboro Shopping Street... superb breakfast buffet, wide variety and can request for packed breakfast box (3 choices= continental or indonesian or healthy) if you intend to visit sunrise activities in Yogyakarta (they can prepare as early as 3.30am!)... 10/10... will be back if visit Yogyakarta again... thank Melia!",Sempurna,"10,0",24 Jan 2020,Perjalanan 4 malam
9,us,"Excellent breakfast, very friendly staff, great location",Sempurna,"10,0",27 Des 2019,Liburan romantis 7 malam
10,us,"Very clean room and nice view of the garden. Excellent price! Staff is really friendly and helpful. The Patio restaurant food was great and reasonably priced. My only complaint is that I wish that they offered signature cocktails. Other than that, our experience here was wonderful and I would definitely recommend staying here!",Sempurna,"10,0",24 Nov 2019,Jalan-jalan keluarga 1 malam
11,my,Good hotel in central Yogyakarta,Sempurna,"10,0",13 Nov 2019,Liburan romantis 3 malam
12,us,Great location. Lovely hotel all around very worthy hotel,Sempurna,"10,0",31 Okt 2019,Perjalanan bisnis 3 malam
13,us,"Very good and relaxing time at the hotel. The staff was very helpful and competent.
Small hiccup, the shower door was not closing perfectly leading the water to leak out",Sempurna,"10,0",24 Okt 2019,Perjalanan 3 malam
14,th,So so,Bagus,"6,0",5 Sep 2019,Perjalanan 3 malam
15,us,"about Hotel
The GOOD:
   The room was clean and tidy.
   The service by all hotel staff was excellent.
The BAD:
   None
The MEDIOCRE:
  The shower in the shower room only gives water.
  (But I can take a warm shower near bathtub)

about ASTRINDO Travel services(in the hotel)
The GOOD:
   The service by front staff was excellent.
   During my tour,the driver was professional and he also entertained me all the way.
The BAD:
   I was charged a fare 150000 RUPIAH from hotel to Adisutjipto airport by the company's driver (diffrent driver from above).
   It was early morning (5:30 am),but to think about the distance (10km,30min) It's expensive.There must be his car Ferrari with Toyota emblem.",Sempurna,"10,0",28 Agt 2019,Perjalanan 2 malam
16,sg,"Hotel feels old, with some room furniture clearly old and tired.",Bagus,"6,0",20 Agt 2019,Liburan bersama teman 3 malam
17,us,"Perfect hotel!! Clean, modern, few restaurants with good food , dinner for two $50 (without alcohol). Just try to stay there you will not regret!",Sempurna,"10,0",15 Agt 2019,Liburan romantis 3 malam
18,us,"Staffs are very friendly and helpful, smiling every time.",Sempurna,"10,0",16 Agt 2019,Liburan romantis 2 malam
19,sg,"The room was big and clean with modern renovation, yhi wellness spa offer for fruity indulgence was very relaxing! Service was very good as well! However noted a cockroach running around, although staff was very prompt in removing the cockroach once notified",Bagus Sekali,"8,0",13 Agt 2019,Liburan romantis 3 malam
20,sg,WIFI network was poor. No connection was given to WIFI on the second day.,Bagus,"6,0",8 Agt 2019,Jalan-jalan keluarga 2 malam
21,us,,Bagus Sekali,"8,0",22 Jul 2019,Jalan-jalan keluarga 2 malam
22,us,Nice and relaxing place,Sempurna,"10,0",8 Mei 2019,Liburan bersama teman 3 malam
23,au,"Lovely hotel , great stay. All the hotel amenities were excellent- pool, food, room , staff, spa, decor.",Sempurna,"10,0",16 Jul 2019,Perjalanan 2 malam
24,gb,"Kamar yang baru direnovasi, staff yang ramah, breakfast kurang bervariasi",Bagus Sekali,"8,0",21 Jun 2019,Jalan-jalan keluarga 2 malam
25,sg,"Everything about the hotel is great. Services, room conditions, food (both paid dinner and free breakfast) was alright. Location is so so, nothing much around. The famous Maliboro street is just meh.",Sempurna,"10,0",4 Jul 2019,Liburan bersama teman 4 malam
26,gb,"Near from central
Average for breakfast
Already renovation",Bagus Sekali,"8,0",21 Jun 2019,Jalan-jalan keluarga 2 malam
27,au,"Very comfortable, stylish and friendly property.  Great pool & surrounding gardens",Sempurna,"10,0",27 Mei 2019,Liburan romantis 4 malam
28,sg,I love the place but the room are infected with ants.,Sempurna,"10,0",21 Mei 2019,Perjalanan bisnis 4 malam
29,my,"Nice hotel  , good breakfast , overall very good . My suggestion for dustbins please change to te one opening by pressing by foot n not using how hands to open it .",Sempurna,"10,0",6 Mei 2019,Liburan bersama teman 3 malam
30,gb,"Hotel clean and pleasant, food was just OK, but the staff could not have been any more helpful or friendly (really lovely).  Not a great deal to do in the area.  You really are staying in the area to see the temples, although also a good opportunity to have a massage in the spa at a reasonable cost.",Bagus Sekali,"8,0",28 Apr 2019,Liburan bersama teman 3 malam
31,au,Everything is perfect at this hotel. Great location next to a supermarket and the middle of town. The breakfast was excellent.,Sempurna,"10,0",22 Apr 2019,Liburan romantis 4 malam
32,sg,Hotel is amazing! City view of Mount Merapi. Hotel staffs are helpful. Must try the javanese massage.,Sempurna,"10,0",18 Apr 2019,Liburan romantis 4 malam
33,gb,"Temple visits, city based",Bagus Sekali,"8,0",18 Apr 2019,Liburan romantis 3 malam
34,sg,Good location if you are interested in shopping at Marliboro Road (just 5 mins. walk). Has a resort ambience. Rooms were large and pleasant (understand renovation done not too long ago.). Very friendly and service orientated staff. Breakfast was limited with very small international selection. Local selection was good especially must try the Jamu (delicious and refreshing).,Bagus Sekali,"8,0",17 Apr 2019,Liburan romantis 3 malam
