,country,comments,ratingbadge,ratingscore,checkin,typetripnights
0,id,"Pelayanan dan lokasi strategis, rekomenfasi bersama keluarga.",Bagus Sekali,"8,0",8 Jul 2019,Perjalanan bisnis 4 malam
1,id,Cocok untuk penginapan bersama keluarga,Sempurna,"10,0",19 Jun 2019,Jalan-jalan keluarga 3 malam
2,my,Good enough,Sempurna,"10,0",31 Des 2019,Perjalanan 3 malam
3,gb,The hotel staff is very friendly and helpful.  Next to the hotel is a large shopping mall where you can find plenty of food stalls and restaurants.  The main area for improvement is its shower room design which has no door to stop water getting out to the toilet when showering. The buffet breakfast offers plenty of food choices.,Bagus Sekali,"8,0",8 Des 2019,Perjalanan bisnis 5 malam
4,hk,The breakfast was delicious. The staff are very friendly.,Sempurna,"10,0",1 Okt 2019,Jalan-jalan keluarga 1 malam
5,us,Great location and convince since there is a mall next door,Sempurna,"10,0",14 Sep 2019,Jalan-jalan keluarga 3 malam
6,us,"Good hotel friendly and helpful staff. Good service. Shower screen needs to be repaired as water tends to leak out during shower flooding floor outside the shower area.
Food is good. We have made several friends with the staff. The mall next door is an asset.👍",Sempurna,"10,0",15 Des 2018,Jalan-jalan keluarga 5 malam
7,sg,Close to a shopping Mall next door. Ambient is good and lovely,Sempurna,"10,0",2 Des 2018,Perjalanan 4 malam
8,sg,"Noce hotel. We had some hiccups during checkin but we received great help from Wigati amd Vina from hotel concierge. At the end fantastic experience. 
However, hotel would deserve a bit better maintenance.",Sempurna,"10,0",6 Okt 2018,Jalan-jalan keluarga 2 malam
9,sg,Location is good as there is a shopping mall which is located beside the hotel,Bagus Sekali,"8,0",6 Nov 2018,Perjalanan 4 malam
10,sg,Nice and classy hotel. Very very friendly staff and good service. Big variety of food for breakfast. Also lunch packages for I want to party have been very good. Perfect indoor play area for small children.,Bagus Sekali,"8,0",8 Agt 2018,Perjalanan 4 malam
11,ca,"These guys are a real 5 star, from the time you check in all the way after check out they give you white glove service. 100% recommended hotel",Sempurna,"10,0",7 Agt 2018,Perjalanan 3 malam
12,hk,We had a very pleasant stay at this hotel. The staff were always courteous and helpful. The breakfast included a variety of food and drinks to suit all tastes.,Bagus Sekali,"8,0",6 Jul 2018,Perjalanan 3 malam
13,sg,It leaves a good impression to me. Good and friendly staff. Good security check this is impressive. Nice food. Comfortable bed.,Sempurna,"10,0",27 Mei 2018,Liburan bersama teman 2 malam
14,sg,"My dad took the fish n chip for dinner and vomit and diarrea, during midnight, we inform the hotel and they send us doctor but make us pay. So... disappointed as my dad don’t go out, he relax in the room so...",Buruk,"2,0",24 Mei 2018,Jalan-jalan keluarga 2 malam
15,sg,"location - good as it’s close to plaza 
Hotel outlook - Old and overated prices, time to renovate 
Comfort- nice bed and good air conditioning 
Service- good however language barrier. English language poor need to improve.
Hotel lounge- singing boring song which in 70 or 80 just like hotel outlook .",Bagus,"6,0",18 Apr 2018,Perjalanan 5 malam
16,sg,"When we had to checkout early due to flight obligations, the hotel willingly packed our breakfast at 4am in the morning.",Sempurna,"10,0",31 Mar 2018,Perjalanan 3 malam
17,id,"Our stay was nice. As Americans, it would have been nice if someone would have spoken a little more English, but I understand that is not on them. Incredibly polite staff.",Bagus Sekali,"8,0",31 Mar 2018,Perjalanan bisnis
18,us,"Love the hotel, staff, service, location, and food. Would definitely return.",Sempurna,"10,0",10 Mar 2018,Perjalanan 3 malam
