,country,comments,ratingbadge,ratingscore,checkin,typetripnights
0,id,Hotel yg sangat nyaman. Luas dan bersih. Breakfastnya variasi dan rasanya mantapp!!  Disampingnya ada mal Hartono dan tinggal berjalan kaki. Pasti kesini lagi kalau ke Jogja lagi.,Sempurna,"10,0",25 Des 2019,Jalan-jalan keluarga 3 malam
1,id,"Hotel baru yang sangat nyaman
Very recommended hotel",Sempurna,"10,0",9 Jul 2019,Jalan-jalan keluarga 1 malam
2,id,"hotel yg nyaman,bersih,lokasi dekat mall.",Sempurna,"10,0",12 Jan 2019,Jalan-jalan keluarga 1 malam
3,id,"Kamar luas, ranjang besar, parkir mobil luas, breakfast banyak, gym luas",Sempurna,"10,0",26 Des 2018,Liburan romantis 3 malam
4,sg,"The hotel was nice and comfortable.
The only thing I was not comfortable was the bidet as it smells like sewage. I already complained to the hotel and they said it’s because of the rubber on the bidet and they are going to change them.
The hotel was also located beside a mall but there’s no proper shelter...so in rainy seasons, you have to borrow umbrella to cross. I can’t help but wonder why they never take that into consideration when building the hotel. Other that those two, it’s really a comfortable and clean and I will definitely be back.",Bagus Sekali,"8,0",11 Des 2019,Perjalanan 5 malam
5,sg,Superb service all around. Rooms very clean and Hartono Mall right next door.,Sempurna,"10,0",8 Des 2019,Jalan-jalan keluarga 3 malam
6,th,The breakfast buffet was the best and most varied that I have encountered anywhere in the world. The staff was very accommodating and friendly.,Sempurna,"10,0",8 Okt 2019,Liburan bersama teman 13 malam
7,sg,"Nice location. Room was perfect size and sufficient for 2 night stay with a king bed and extra bed for our teenager daughter.

What we didn’t like :we have decided to order a breakfast to our room as we were going to leave early for sightseeing. The only breakfast Menu list in our room was already used with a date of August 2018. We  dialed and asked the  room service a new room service breakfast menu  and  received it. shortly.
After deciding our choices we did put in front of our door before midnight as it was written.
 Set our alarm as we were sure that we will receive our breakfast and not to rush downstairs to find a breakfast place.

Unfortunately the morning the list was still hanging from our door. No one picked up ( although an hotel employee from the room service brought us the new list)
So we ended up rushing and having a open buffet breakfast.",Bagus Sekali,"8,0",15 Okt 2019,Jalan-jalan keluarga 2 malam
8,sg,"The place was.well equipped. 
No freezer xompartment to make ice in the fridge",Sempurna,"10,0",23 Sep 2019,Liburan romantis 3 malam
9,sg,Nice staff.. Always greeting you with smile. Big and clean rooms,Sempurna,"10,0",19 Sep 2019,Jalan-jalan keluarga 3 malam
10,us,Excellent hotel.  Highly recommended.  Helpful staff,Sempurna,"10,0",19 Sep 2019,Jalan-jalan keluarga 2 malam
11,gb,"Service was amazing and excellent!! The staff helped plan a birthday surprise for my mom despite the last minute request. They also remembered our preferences e.g. extra bottled water and choice of drinks and provided them without us asking. Kudos to all the staff working in Yogyakarta Kitchen, especially Davidv and the house keeping team!! Not forgetting Prager working at the conceige who went above and beyond to help us booked spa services!!",Sempurna,"10,0",11 Sep 2019,Jalan-jalan keluarga 3 malam
12,ca,"Loved the facilities, very clean and modern. The buffet breakfast was amazing with so many choices. We loved our stay. The only detail why it was not perfect was due to the loud sounds from the nearby mosque that woke us up around 4 am but I guess this would be the case in almost all Yogya. If you are a light sleeper I'd suggest bringing some ear plugs.",Sempurna,"10,0",7 Sep 2018,Liburan romantis 1 malam
13,sg,"New, good location beside mall. Staff was friendly and food at buffet and other restaurants was good.",Sempurna,"10,0",7 Agt 2019,Liburan romantis 4 malam
14,id,"Stayed at 7th floor. Room is big. Somehow no minibar. Wonder why. But its ok. Some ants in the closet. The working desk is round; its fine. Noise from outside (building work; neighbour) ; early in the morning. But, i will be back. Love the breakfast. Love the room service. Thanks. Quick check in. Bed is comfy. Pillow too soft.",Bagus Sekali,"8,0",30 Jul 2019,Perjalanan bisnis 1 malam
15,sg,"Despite the high quality of service, food, ambience, e.t.c., at the hotel, everything was super-affordable. Highly recommended for all.",Sempurna,"10,0",8 Jul 2019,Perjalanan bisnis 1 malam
16,my,nice and staff are helpful excellent service fm the staff at the restaurant,Bagus Sekali,"8,0",14 Jun 2019,Liburan bersama teman 3 malam
17,id,The fixtures in the bathroom not good quality and the towel also not so good,Bagus Sekali,"8,0",14 Jun 2019,Liburan romantis 2 malam
18,us,The service from every staff member I interacted with excellent!,Sempurna,"10,0",22 Apr 2019,Perjalanan bisnis 2 malam
19,au,"If I could give a rating of 12/10 for this hotel I would. My wife and I stayed for 9 nights and could not fault the hotel or staff at all. The staff were unbelievable. Friendly, efficient and always happy. We felt that when we left the staff were our friends, not staff. Spoke to us by name every morning. Cannot speak highly enough of this place.",Sempurna,"10,0",31 Mar 2019,Liburan romantis 9 malam
20,sg,"Everything is perfect. It will be ideal if there are more facilities for kids, like a kids club, playground, slides by the pool etc.",Sempurna,"10,0",20 Mar 2019,Liburan romantis 4 malam
21,sg,Everything was so amazing from the first step we took into the hotel. Service was so good. Staff were amazing. Greeted us every single time. Birthday surprise went well too!,Sempurna,"10,0",6 Mar 2019,Liburan romantis 3 malam
22,au,"The staff were very friendly and attentive and the breakfast was good quality. Hotel looks very new, club area was also excellent.",Bagus Sekali,"8,0",5 Feb 2019,Perjalanan bisnis 2 malam
23,sg,"Outstanding hotel, incredible staff, amazing room, we will certainly be back and would highly recommend this as THE place to stay in Yogyakarta.",Sempurna,"10,0",6 Feb 2019,Liburan romantis 4 malam
24,my,"It was like a two-weeks trip, and I had the best stay! Very clean hotel with first class service. The breakfast was amazing, you could just sit there and have a chat with the friendly staffs at the restaurant all day long. The location was next to the biggest mall in Jogja, so it is easy to get things (also they have a money changer in the mall).",Sempurna,"10,0",4 Feb 2019,Perjalanan bisnis 3 malam
25,sg,"We love the room which was very spacious and well-designed. They had a lovely spa onsite which we went to almost on a daily basis. Location-wise, it was located right next to a mall which was fantastic. If we were to visit Jogja again, we will definitely book this hotel.",Sempurna,"10,0",26 Jan 2019,Liburan romantis 2 malam
26,us,"New, clean hotel.",Sempurna,"10,0",23 Nov 2018,Jalan-jalan keluarga 2 malam
27,sg,Hotel is just next to a shopping mall. Very convenient. Only 15 drive to airport.,Bagus Sekali,"8,0",2 Jan 2019,Perjalanan 1 malam
28,au,Nice hotel with good restaurants and beautiful pool and spa facilities,Sempurna,"10,0",18 Des 2018,Perjalanan 3 malam
29,us,"Excellent service, convinent location right next to Big Mall.",Sempurna,"10,0",4 Des 2018,Jalan-jalan keluarga 3 malam
30,my,"Large room, friendly staff, hotel connect to shopping mall. 
Variety choice of buffet breakfast,Brand new gym equipment, large swimming pool.",Sempurna,"10,0",26 Nov 2018,Perjalanan 1 malam
31,sg,"We will come back, friendly staff (front desk, housekeeping, everyone),  Lots of selection at breakfast, room was spacious and live up to Marriotts reputation. We spend a lot of time at the pool, its very family friendly.",Sempurna,"10,0",23 Nov 2018,Jalan-jalan keluarga 2 malam
32,my,probably good pillow and blanket would be better,Bagus Sekali,"8,0",15 Nov 2018,Perjalanan 5 malam
33,id,"Location was a bit far from where we wanted to go, which was Malioboro, but it was closer to the airport.  Loved the room, the bed, the pool, and the breakfast!",Sempurna,"10,0",3 Nov 2018,Liburan bersama teman 1 malam
34,ph,"Very convenient since it's beside a mall with supermarket, restaurants and money changer. It's also relatively near the airport. Spacious rooms. Free bottled water daily.",Bagus Sekali,"8,0",2 Nov 2018,Jalan-jalan keluarga 1 malam
35,sg,"Beautiful, clean l, comfortable and located just next to Hartono mall. 
But hope access from hotel rooms to meeting rooms could be more convenient",Bagus Sekali,"8,0",29 Okt 2018,Perjalanan bisnis 5 malam
36,us,"This hotel is rather new and really stands out in terms of comfort and amenities. I use for catching an early morning flight, as the hotel is close the airport. The rooms were comfy and modern in design. The pools area is also well designed and inviting.

The best feature of the place, however, is the spa, which is large and super clean. We were greeted by the friendly staff and were really impressed by the experience. 
Food by the restaurant on the ground floor was delicious, however, we choose to have it served in the bar, as we wanted to stay away from the buffet crowd.",Sempurna,"10,0",28 Okt 2018,Liburan romantis 1 malam
37,sg,"Very wonderful hotel, best thing/hotel in this town. Stay here and nothing will go wrong.

Love the whole hotel.",Sempurna,"10,0",17 Okt 2018,Perjalanan 2 malam
38,sg,"Room is spacious. The restaurants are great. Food quality is great. Staffs are very professional.
Near a big shopping mall.
Very new and clean rooms. The spa is worth the try too!",Sempurna,"10,0",14 Okt 2018,Perjalanan bisnis 4 malam
