,country,comments,ratingbadge,ratingscore,checkin,typetripnights
0,id,Sangat enjoy nginap di aston ..,Sempurna,"9,0",15 Des 2019,Jalan-jalan keluarga 2 malam
1,id,"Pertama datang saat check in sempat menjadi hal yang mengesalkan, karena staf di receiptionist mengatakan bahwa di sistem mereka hanya ada 2 kamar yang di-booking, sedangkan kami sebenarnya pesan 3 kamar. Saat kami menunjukkan bukti konfirmasi pemesanan yang menurut kami sudah sangat jelas, masih saja staf tersebut berbelit dengan mengatakan saya keliru melakukan booking, yang masuk di sistem hanya 2, sambil menawarkan kami pesan 1 kamar tambahan yang diinginkan dengan harga saat itu yang jelas jauh lebih tinggi di hari raya Lebaran. Hal ini akhirnya sempat membuat kami marah, sudah lelah dengan perjalanan jauh, kemudian proses check in berbelit hingga hampir 1 jam. Akhirnya ada satu staf lain yang meminta maaf dan menyampaikan mereka keliru melihat di sistemnya, intinya pesanan kami saat itu ada lengkap 3 kamar. Alasan yang untuk kami sebenarnya kurang masuk akal.
Sebenarnya secara keseluruhan menginap di sini menyenangkan. Kamar yang cukup luas, nyaman dan bersih. Fasilitas toileteries yang lengkap dan memiliki khas, sangat menyenangkan. Koneksi wifi lancar baik di kamar ataupun di area publik, makanan yang cukup lezat dan bervariasi, serta lokasi yang strategis di tengah kota tetapi tidak terlalu dekat dengan Malioboro yang terlalu padat dan ramai, mudah untuk menuju ke berbagai arah tujuan jika Anda menginap di sini. Di sekitar Hotel pun sangat mudah untuk menemukan berbagai macam kebutuhan.",Bagus Sekali,"10,0",5 Jun 2019,Jalan-jalan keluarga 2 malam
2,id,"We had a business trip and stay at this hotel. The hotel is situated at main road and strategic location that has easy access to a good local restaurant such as Gudeg Sagan. When we arrived, we had been greeted warmly with the polite and nice staff in the lobby of the hotel. We're pleased with the service. The room is quite large and clean. The things that I like the most is the selection of the breakfast that serve a variety of international and local food. The kind of breakfast that I cannot find in similar level of hotel. they serve even roast beef and mix your own juice which is fantastic for breakfast. With the relative affordable price, the hotel provides a great service, good atmosphere and great breakfast. So will definitely go back again next time.",Sempurna,"8,0",27 Jan 2019,Perjalanan bisnis 2 malam
3,id,"Lokasi sangat strategis, sehingga biaya transportasi minimal. Bisa kuliner makanan khas Yogya saat malam hari di seberang hotel.
Kondisi kamar nyaman, cukup luas, tidak berisik saat beristirahat.
Kami sangat menyukai suasananya.",Sempurna,"10,0",6 Des 2018,Perjalanan 3 malam
4,id,"Close to the center of the city, clean room, nice staff",Sempurna,"10,0",18 Okt 2018,Perjalanan 2 malam
5,id,"Enak, hotel bersih",Bagus Sekali,"10,0",13 Jun 2018,Jalan-jalan keluarga 2 malam
6,id,"I am satisffied with this hotel, strategic location, and comfortable",Sempurna,"8,0",2 Mar 2018,Perjalanan 1 malam
7,id,Hotel is really nice with friendly staff. The breakfast was not great but acceptable.,Sempurna,"10,0",26 Jan 2018,Perjalanan 1 malam
8,au,". Staff very friendly and helpful, Services was excellent.",Bagus Sekali,"10,0",27 Feb 2020,Liburan romantis 14 malam
9,us,"Nice large room but too little light, and with stains on the carpet and upholstery. Shower floor slippery when wet. Breakfast OK except we were told 30-minute wait for the ""famous croissants"".. The pool is small. Lovely staff.",Bagus Sekali,"8,0",24 Jan 2020,Perjalanan 2 malam
10,us,The staff was great. Breakfast included was excellent. Best croissants in Asia. Best deal for clean hotel in Yogyakarta. Fairly close to airport.,Bagus Sekali,"8,0",6 Jan 2020,Liburan bersama teman 3 malam
11,sg,Good,Bagus Sekali,"8,0",18 Des 2019,Perjalanan 5 malam
12,my,Check in and check out was really smooth. Room was really clean and comfortable. Staff were also helpful and friendly. Close to amenities. Breakfast buffet was plentiful and good. Really loved my stay here.,Sempurna,"8,0",27 Jul 2017,Jalan-jalan keluarga 3 malam
13,gb,highly recommended .  free breakfast,Bagus Sekali,"10,0",18 Des 2019,Jalan-jalan keluarga 4 malam
14,sg,Very clean and new. Excellent staff who were welcoming. Great steakhouse as well.,Sempurna,"8,0",2 Des 2019,Jalan-jalan keluarga 4 malam
15,sg,Staffs are very friendly and hotel well maintained.,Sempurna,"10,0",4 Des 2019,Jalan-jalan keluarga 3 malam
16,my,Good food in the restaurant. Perfect place to stay in town.,Sempurna,"10,0",22 Nov 2019,Liburan bersama teman 4 malam
17,il,What an amazing place. The breakfast was to die for. Service was also amazing. Room service was great too. No complaints!,Sempurna,"10,0",19 Okt 2019,Liburan romantis 5 malam
18,gb,Enjoyable stay.,Bagus Sekali,"10,0",20 Okt 2019,Jalan-jalan keluarga 3 malam
19,id,Need to improve the bed quality,Bagus Sekali,"8,0",21 Sep 2019,Jalan-jalan keluarga 1 malam
