,country,comments,ratingbadge,ratingscore,checkin,typetripnights
0,id,Hotel Tentrem ada di jogja adalah sebuah hotel yang bagus dan menyenangkan,Bagus Sekali,"9,2",1 Jun 2019,Jalan-jalan keluarga 1 malam
1,id,"Hotel yang selalu saya pilih ketika berada di jogjakarta karena kamarnya luas , bersih dan nyaman. Sarapan lengkap dan enak juga es krim tolak angin yang saya suka tersedia free saat sarapan.",Sempurna,"8,0",15 Mei 2019,Perjalanan bisnis 1 malam
2,id,"semua baik, bersih, nyaman",Bagus Sekali,"10,0",28 Des 2018,Liburan romantis 1 malam
3,id,The staffs are very friendly. Variety of the Breakfast satisfy us.,Sempurna,"8,0",28 Des 2018,Jalan-jalan keluarga 1 malam
4,id,"Hotel yg mewah dan lengkap fasilitasnya, kamar juga luas.",Sempurna,"10,0",22 Des 2018,Jalan-jalan keluarga 2 malam
5,id,semuanya baik,Sempurna,"10,0",23 Des 2018,Jalan-jalan keluarga 1 malam
6,id,"Love the lemon grass smell in the lobby. Friendly staff. Lots of food varieties for buffet breakfast. Excellent gym. Spacious room with balcony. Mini bar is free. Free jahe kopi, kunyit asem, tolak angin beside coffee and teabags. The only minus is the wall is thin, you can hear the conversation from the room next door.",Sempurna,"10,0",16 Des 2018,Jalan-jalan keluarga 1 malam
7,id,"Very comfortable room, good bedroom and all facilities...nice restaurant etc",Sempurna,"10,0",30 Jul 2018,Perjalanan 2 malam
8,id,"Thou the bed sheet is not as clean as i expected (i found many left stains), but i found the room very comforting and the swimming pool is one of the best in Yogyakarta. The breakfast also excellent. The hotel staffs are nice and helpful.",Bagus Sekali,"10,0",27 Jun 2018,Perjalanan 3 malam
9,id,"Nice and lovely place, food is good and especially bakso",Sempurna,"8,0",18 Jun 2018,Perjalanan 3 malam
10,id,"the hotel is superb, great breakfast, nice room, perfect for family with the big playroom for kids.",Sempurna,"10,0",15 Agt 2017,Perjalanan 3 malam
11,id,good hotel for relaxing,Sempurna,"10,0",5 Jul 2017,Jalan-jalan keluarga 1 malam
12,us,Pool bar is a great place to hang out. Excellent room cleanliness and services,Sempurna,"10,0",24 Feb 2020,Liburan romantis 3 malam
13,us,"Love the breakfast, big bed and pool. Overall really satisfied!",Sempurna,"10,0",15 Des 2019,Jalan-jalan keluarga 3 malam
14,us,"Hotel is clean and comfortable.  Rooms are spacious and staff is friendly.  Location is convenient, not far from airport.  It is also not far to Malioboro and other attractions such as Prambanan.  However, be aware that traffic in Yogja is very slow and congested, so it can take 40-60 minutes to travel just 20Km by car.  Hotel breakfast is excellent!  We also had dinner one night, and the Balinese cuisine is excellent.  The only complaint I have is that the towels had a bad smell.  At first I thought it was just a bad batch, but the towels we received in the following days also did not smell good.  They had an odor as if the washing machines are not cleaning thoroughly.",Bagus Sekali,"10,0",27 Des 2019,Jalan-jalan keluarga 2 malam
15,us,There were 2 mosquitoes that I noticed flying around and bothering me all night long....the cleanliness in the bathroom area also not so good this time...hope to have a better experience next time.,Bagus,"8,0",17 Nov 2019,Perjalanan bisnis 1 malam
16,gb,"Love everything about this hotel, just like the name, it really feels ""tentrem"" the moment you step in into the hotel. The homey feeling, the warmest of the staff, the spacious room and the awesome breakfast. Not the mention, the superb location, easy to get around everywhere. Worth every penny. Very very recommended!",Sempurna,"6,0",28 Sep 2019,Perjalanan 2 malam
17,gb,It was a great experience,Sempurna,"10,0",15 Sep 2019,Jalan-jalan keluarga 2 malam
18,hk,오바마가 머물렀던 호텔이라서 기대를 했던 탓인지 약간 오래된 시설에서 실망을 했지만 수영장도 아름답고 조식도 종류가 다양해서 좋았으며 특히 서비스가 좋고 직원들이 모두 웃는 얼굴로 친절하게 대해주니 참 좋았습니다.,Bagus Sekali,"10,0",11 Agt 2019,Jalan-jalan keluarga 2 malam
19,us,Very good.  But little bit far from center,Sempurna,"8,0",15 Agt 2019,Jalan-jalan keluarga 2 malam
20,sg,"Central location, good value for money and hospitable staff",Sempurna,"10,0",8 Agt 2019,Liburan romantis 4 malam
21,us,"This hotel has a very high standard in quality, service, food, cleanliness,  facilities and in everything. The price is very reasonable. Highly recommended.",Sempurna,"10,0",13 Agt 2019,Jalan-jalan keluarga 2 malam
22,us,It's truly kind staff and warm greetings to all guest,Sempurna,"10,0",13 Agt 2019,Jalan-jalan keluarga 2 malam
23,sg,"My roow was next to house keepers' stock room. At daytime, a lot of noise and could not have a good rest. Night time was quiet.",Bagus Sekali,"10,0",8 Agt 2019,Perjalanan 2 malam
24,us,The room service food was not too nice...the buffet breakfast was great,Sempurna,"8,0",19 Jul 2019,Jalan-jalan keluarga 2 malam
25,id,Asking for near lift room but dont have (already written). Complimentary in room reduced from time to time.,Bagus Sekali,"10,0",9 Jul 2019,Jalan-jalan keluarga 1 malam
26,hk,"Very nice stay indeed. Staff are friendly and helpful. The room was spacious, up-to-date and clean. Got a great choice of room service menu. The breakfast included is amazing, lots of food choices and taste good as well. Location is not exactly close to any attraction but grab is too cheap here to make you care.",Sempurna,"8,0",1 Jul 2019,Liburan romantis 3 malam
