,country,comments,ratingbadge,ratingscore,checkin,typetripnights
0,ca,We stayed for 12 lazy days in February and found the hotel excellent in every manner.  Extremely well trained staff.  Gets a 10 out of 10 from us.,Sempurna,"8,6",7 Feb 2020,Perjalanan 12 malam
1,ca,The property is a beautiful place with a lot of character.  The staff were all very friendly and helpful. The pool area is beautiful. And I loved the happy hour cocktails!,Sempurna,"10,0",11 Feb 2020,Perjalanan 4 malam
2,gb,"Friendly staff, nice old building especially in lobby area and the nasi tumpeng is nice",Bagus,"10,0",3 Feb 2020,Liburan romantis 1 malam
3,sg,The relaxed ambience and the friendly staff. Big comfortable room.,Sempurna,"6,0",11 Jan 2020,Jalan-jalan keluarga 4 malam
4,sg,"Our five-night stay began on a low note, with the air conditioning not working well at all. It was fixed after we threatened to leave. Our room was also not properly equipped with toiletries and some of the towels looked like they should have been discarded a while ago. Inexplicably, the safe was located at the bottom of the cupboard: nice exercise, but I could have done without having to get on my knees every time! 

But there was much to be positive about. Overall, the staff was really friendly and helpful, notably in the restaurant and the bar.The bartender is really very good: we tried several cocktails and all were top-of-the-line: the Mai Tais and lychee martinis were exceptional. The breakfast is a big spread and sumptuous. Other meals are a bit thin by way of choice, but the food is tasty. The executive room was comfortable once the air conditioning was fixed. The hotel itself is a heritage building and it's worth a tour, which is available every late afternoon.",Bagus Sekali,"10,0",12 Des 2019,Perjalanan 5 malam
5,us,The antique decor makes one experience the history of this old building.,Sempurna,"8,0",14 Des 2019,Perjalanan bisnis 2 malam
6,gb,"Old style property, with central location with modern facilities",Sempurna,"10,0",9 Des 2019,Liburan romantis 4 malam
7,sg,Very friendly staff,Bagus Sekali,"10,0",1 Nov 2019,Jalan-jalan keluarga 3 malam
8,sg,Fantastic place still even after my last visit 3 years ago.,Sempurna,"8,0",23 Okt 2019,Liburan romantis 2 malam
9,us,Some furnitures need to be updated.,Bagus Sekali,"10,0",16 Okt 2019,Perjalanan 3 malam
10,gb,Extra charge for pool view room. Otherwise great. Breakfast and dinner options excellent particularly for vegetarians.,Sempurna,"8,0",1 Okt 2019,Liburan romantis 2 malam
11,my,Unique heritage property.  Great service and courteous staff.  Location reasonable convenient.,Sempurna,"10,0",4 Sep 2019,Perjalanan 3 malam
